Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd21809_reduced,10,-8.64,8.07
ligand_Maybridge_HitDiscoverCmpd2180_reduced,10,-9.90,7.04
ligand_Maybridge_HitDiscoverCmpd21810_reduced,10,-9.34,6.91
ligand_Maybridge_HitDiscoverCmpd21811_reduced,10,-12.41,8.26
ligand_Maybridge_HitDiscoverCmpd21812_reduced,10,-9.91,6.95
ligand_Maybridge_HitDiscoverCmpd21813_reduced,10,-9.39,7.80
ligand_Maybridge_HitDiscoverCmpd21814_reduced,10,-10.47,7.94
ligand_Maybridge_HitDiscoverCmpd21815_reduced,10,-8.85,6.90
ligand_Maybridge_HitDiscoverCmpd21816_reduced,10,-8.78,5.55
ligand_Maybridge_HitDiscoverCmpd21817_reduced,10,-11.40,7.46
ligand_Maybridge_HitDiscoverCmpd21818_reduced,10,-12.04,7.91
ligand_Maybridge_HitDiscoverCmpd21819_reduced,10,-7.82,6.17
ligand_Maybridge_HitDiscoverCmpd2181_reduced,10,-11.04,8.32
ligand_Maybridge_HitDiscoverCmpd21820_reduced,10,-10.10,6.93
ligand_Maybridge_HitDiscoverCmpd21821_reduced,10,-10.22,7.81
ligand_Maybridge_HitDiscoverCmpd21822_reduced,10,-10.85,8.05
ligand_Maybridge_HitDiscoverCmpd21823_reduced,10,-11.45,8.10
ligand_Maybridge_HitDiscoverCmpd21824_reduced,10,-10.55,7.83
ligand_Maybridge_HitDiscoverCmpd21825_reduced,10,-9.36,6.43
ligand_Maybridge_HitDiscoverCmpd21826_reduced,10,-9.79,7.24
ligand_Maybridge_HitDiscoverCmpd21827_reduced,10,-11.08,7.36
ligand_Maybridge_HitDiscoverCmpd21828_reduced,10,-9.05,6.14
ligand_Maybridge_HitDiscoverCmpd21829_reduced,10,-11.45,7.78
ligand_Maybridge_HitDiscoverCmpd2182_reduced,10,-9.17,6.03
ligand_Maybridge_HitDiscoverCmpd21830_reduced,10,-11.99,6.81
ligand_Maybridge_HitDiscoverCmpd21831_reduced,10,-10.29,8.08
ligand_Maybridge_HitDiscoverCmpd21832_reduced,10,-11.33,8.19
ligand_Maybridge_HitDiscoverCmpd21833_reduced,10,-9.17,6.94
ligand_Maybridge_HitDiscoverCmpd21834_reduced,10,-11.73,7.32
ligand_Maybridge_HitDiscoverCmpd21835_reduced,10,-10.68,6.83
ligand_Maybridge_HitDiscoverCmpd21836_reduced,10,-9.74,6.92
ligand_Maybridge_HitDiscoverCmpd21837_reduced,10,-11.10,7.94
ligand_Maybridge_HitDiscoverCmpd21838_reduced,10,-9.95,7.09
ligand_Maybridge_HitDiscoverCmpd21839_reduced,10,-7.43,6.13
