Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd45688_reduced,10,-9.53,7.19
ligand_Maybridge_HitDiscoverCmpd45689_reduced,10,-10.23,7.77
ligand_Maybridge_HitDiscoverCmpd4568_reduced,10,-7.22,5.65
ligand_Maybridge_HitDiscoverCmpd45690_reduced,10,-11.85,7.54
ligand_Maybridge_HitDiscoverCmpd45691_reduced,10,-10.96,7.03
ligand_Maybridge_HitDiscoverCmpd45692_reduced,10,-9.86,8.22
ligand_Maybridge_HitDiscoverCmpd45693_reduced,10,-8.11,5.57
ligand_Maybridge_HitDiscoverCmpd45694_reduced,10,-9.72,6.66
ligand_Maybridge_HitDiscoverCmpd45695_reduced,10,-8.08,6.70
ligand_Maybridge_HitDiscoverCmpd45696_reduced,10,-8.65,6.54
ligand_Maybridge_HitDiscoverCmpd45697_reduced,10,-6.30,4.53
ligand_Maybridge_HitDiscoverCmpd45698_reduced,10,-9.17,7.04
ligand_Maybridge_HitDiscoverCmpd45699_reduced,10,-9.89,7.80
ligand_Maybridge_HitDiscoverCmpd4569_reduced,10,-10.36,7.38
ligand_Maybridge_HitDiscoverCmpd456_reduced,10,-6.66,8.01
ligand_Maybridge_HitDiscoverCmpd45700_reduced,10,-10.83,8.21
ligand_Maybridge_HitDiscoverCmpd45701_reduced,10,-10.21,8.19
ligand_Maybridge_HitDiscoverCmpd45702_reduced,10,-10.45,7.12
ligand_Maybridge_HitDiscoverCmpd45703_reduced,10,-9.83,7.27
ligand_Maybridge_HitDiscoverCmpd45704_reduced,10,-9.50,6.87
ligand_Maybridge_HitDiscoverCmpd45705_reduced,10,-11.73,8.07
ligand_Maybridge_HitDiscoverCmpd45706_reduced,10,-7.80,6.28
ligand_Maybridge_HitDiscoverCmpd45707_reduced,10,-10.18,6.31
ligand_Maybridge_HitDiscoverCmpd45708_reduced,10,-9.97,7.16
ligand_Maybridge_HitDiscoverCmpd45709_reduced,10,-11.37,8.00
ligand_Maybridge_HitDiscoverCmpd4570_reduced,10,-10.12,6.82
ligand_Maybridge_HitDiscoverCmpd45710_reduced,10,-9.17,7.52
ligand_Maybridge_HitDiscoverCmpd45711_reduced,10,-6.39,5.09
ligand_Maybridge_HitDiscoverCmpd45712_reduced,10,-11.77,7.75
ligand_Maybridge_HitDiscoverCmpd45713_reduced,10,-12.11,8.25
ligand_Maybridge_HitDiscoverCmpd45714_reduced,10,-11.57,8.12
ligand_Maybridge_HitDiscoverCmpd45715_reduced,10,-9.41,6.90
ligand_Maybridge_HitDiscoverCmpd45716_reduced,10,-8.49,6.32
ligand_Maybridge_HitDiscoverCmpd45717_reduced,10,-9.47,6.76
ligand_Maybridge_HitDiscoverCmpd45718_reduced,10,-11.11,8.12
ligand_Maybridge_HitDiscoverCmpd45719_reduced,10,-11.64,8.04
ligand_Maybridge_HitDiscoverCmpd4571_reduced,10,-11.50,7.80
ligand_Maybridge_HitDiscoverCmpd45720_reduced,10,-9.78,6.74
ligand_Maybridge_HitDiscoverCmpd45721_reduced,10,-9.62,7.25
ligand_Maybridge_HitDiscoverCmpd45722_reduced,10,-11.71,8.08
ligand_Maybridge_HitDiscoverCmpd45723_reduced,10,-10.21,7.74
ligand_Maybridge_HitDiscoverCmpd45724_reduced,10,-12.97,8.40
ligand_Maybridge_HitDiscoverCmpd45725_reduced,10,-10.63,7.03
ligand_Maybridge_HitDiscoverCmpd45726_reduced,10,-8.15,7.45
ligand_Maybridge_HitDiscoverCmpd45727_reduced,10,-11.70,7.24
ligand_Maybridge_HitDiscoverCmpd45728_reduced,10,-12.23,7.90
ligand_Maybridge_HitDiscoverCmpd45729_reduced,10,-11.05,8.40
ligand_Maybridge_HitDiscoverCmpd4572_reduced,10,-10.60,7.17
ligand_Maybridge_HitDiscoverCmpd45730_reduced,10,-10.43,8.15
ligand_Maybridge_HitDiscoverCmpd45731_reduced,10,-6.98,6.11
ligand_Maybridge_HitDiscoverCmpd45732_reduced,10,-10.50,7.06
ligand_Maybridge_HitDiscoverCmpd45733_reduced,10,-11.54,6.98
ligand_Maybridge_HitDiscoverCmpd45734_reduced,10,-11.72,7.59
ligand_Maybridge_HitDiscoverCmpd45735_reduced,10,-10.04,7.00
ligand_Maybridge_HitDiscoverCmpd45736_reduced,10,-9.19,7.95
ligand_Maybridge_HitDiscoverCmpd45737_reduced,10,-5.63,7.94
ligand_Maybridge_HitDiscoverCmpd45738_reduced,10,-9.25,6.77
ligand_Maybridge_HitDiscoverCmpd45739_reduced,10,-10.49,8.44
ligand_Maybridge_HitDiscoverCmpd4573_reduced,10,-5.10,5.13
ligand_Maybridge_HitDiscoverCmpd45740_reduced,10,-11.96,8.07
ligand_Maybridge_HitDiscoverCmpd45742_reduced,10,-9.75,6.89
ligand_Maybridge_HitDiscoverCmpd45743_reduced,10,-11.85,8.17
ligand_Maybridge_HitDiscoverCmpd45744_reduced,10,-10.95,7.51
