Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd10000_reduced,10,-8.49,6.02
ligand_Maybridge_HitDiscoverCmpd10001_reduced,10,-6.26,6.05
ligand_Maybridge_HitDiscoverCmpd10002_reduced,10,-10.52,7.83
ligand_Maybridge_HitDiscoverCmpd10003_reduced,10,-11.51,7.89
ligand_Maybridge_HitDiscoverCmpd10004_reduced,10,-7.50,5.90
ligand_Maybridge_HitDiscoverCmpd10005_reduced,10,-9.36,7.76
ligand_Maybridge_HitDiscoverCmpd10006_reduced,10,-5.56,4.57
ligand_Maybridge_HitDiscoverCmpd10007_reduced,10,-7.43,6.44
ligand_Maybridge_HitDiscoverCmpd10008_reduced,10,-7.93,6.55
ligand_Maybridge_HitDiscoverCmpd10009_reduced,10,-6.81,6.03
ligand_Maybridge_HitDiscoverCmpd1000_reduced,10,-9.38,6.94
ligand_Maybridge_HitDiscoverCmpd10010_reduced,10,-6.23,6.39
ligand_Maybridge_HitDiscoverCmpd10011_reduced,10,-11.28,7.62
ligand_Maybridge_HitDiscoverCmpd10012_reduced,10,-10.56,7.69
ligand_Maybridge_HitDiscoverCmpd10013_reduced,10,-8.92,6.52
ligand_Maybridge_HitDiscoverCmpd10014_reduced,10,-11.46,7.20
ligand_Maybridge_HitDiscoverCmpd10015_reduced,10,-7.80,6.11
ligand_Maybridge_HitDiscoverCmpd10016_reduced,10,-6.12,6.14
ligand_Maybridge_HitDiscoverCmpd10017_reduced,10,-5.89,5.21
ligand_Maybridge_HitDiscoverCmpd10018_reduced,10,-9.52,6.45
ligand_Maybridge_HitDiscoverCmpd10019_reduced,10,-5.82,5.72
ligand_Maybridge_HitDiscoverCmpd1001_reduced,10,-10.11,7.57
ligand_Maybridge_HitDiscoverCmpd10020_reduced,10,-5.73,5.32
ligand_Maybridge_HitDiscoverCmpd10021_reduced,10,-4.70,5.92
ligand_Maybridge_HitDiscoverCmpd10022_reduced,10,-11.68,7.86
ligand_Maybridge_HitDiscoverCmpd10023_reduced,10,-10.36,6.66
ligand_Maybridge_HitDiscoverCmpd10024_reduced,10,-9.34,7.09
ligand_Maybridge_HitDiscoverCmpd10025_reduced,10,-8.18,6.28
ligand_Maybridge_HitDiscoverCmpd10026_reduced,10,-5.68,5.15
ligand_Maybridge_HitDiscoverCmpd10027_reduced,10,-9.59,7.64
ligand_Maybridge_HitDiscoverCmpd10028_reduced,10,-8.53,6.26
ligand_Maybridge_HitDiscoverCmpd10029_reduced,10,-12.16,7.57
ligand_Maybridge_HitDiscoverCmpd1002_reduced,10,-7.97,6.39
ligand_Maybridge_HitDiscoverCmpd10030_reduced,10,-7.48,6.50
ligand_Maybridge_HitDiscoverCmpd10031_reduced,10,-10.95,7.42
ligand_Maybridge_HitDiscoverCmpd10032_reduced,10,-12.23,7.94
ligand_Maybridge_HitDiscoverCmpd10033_reduced,10,-6.47,6.24
ligand_Maybridge_HitDiscoverCmpd10034_reduced,10,-7.25,6.67
ligand_Maybridge_HitDiscoverCmpd10035_reduced,10,-9.89,7.93
ligand_Maybridge_HitDiscoverCmpd10036_reduced,10,-8.98,6.84
ligand_Maybridge_HitDiscoverCmpd10037_reduced,10,-8.06,6.01
ligand_Maybridge_HitDiscoverCmpd10038_reduced,10,-7.32,5.79
ligand_Maybridge_HitDiscoverCmpd10039_reduced,10,-8.07,6.44
ligand_Maybridge_HitDiscoverCmpd1003_reduced,10,-8.67,6.00
ligand_Maybridge_HitDiscoverCmpd10040_reduced,10,-7.77,6.41
ligand_Maybridge_HitDiscoverCmpd10041_reduced,10,-6.96,7.19
ligand_Maybridge_HitDiscoverCmpd10042_reduced,10,-7.51,6.63
ligand_Maybridge_HitDiscoverCmpd10043_reduced,10,-6.06,6.76
ligand_Maybridge_HitDiscoverCmpd10044_reduced,10,-9.01,6.62
ligand_Maybridge_HitDiscoverCmpd10045_reduced,10,-8.61,7.85
ligand_Maybridge_HitDiscoverCmpd10046_reduced,10,-10.32,7.45
ligand_Maybridge_HitDiscoverCmpd10047_reduced,10,-7.53,5.65
ligand_Maybridge_HitDiscoverCmpd10048_reduced,10,-7.44,6.29
ligand_Maybridge_HitDiscoverCmpd10049_reduced,10,-7.81,6.03
ligand_Maybridge_HitDiscoverCmpd1004_reduced,10,-9.61,6.35
ligand_Maybridge_HitDiscoverCmpd10050_reduced,10,-7.06,6.65
ligand_Maybridge_HitDiscoverCmpd10051_reduced,10,-9.15,6.85
ligand_Maybridge_HitDiscoverCmpd10052_reduced,10,-11.33,7.91
ligand_Maybridge_HitDiscoverCmpd10053_reduced,10,-10.11,6.91
ligand_Maybridge_HitDiscoverCmpd10054_reduced,10,-7.25,5.29
ligand_Maybridge_HitDiscoverCmpd10055_reduced,10,-11.03,7.60
ligand_Maybridge_HitDiscoverCmpd10056_reduced,10,-7.27,5.73
ligand_Maybridge_HitDiscoverCmpd10057_reduced,10,-6.60,4.93
ligand_Maybridge_HitDiscoverCmpd10058_reduced,10,-7.80,8.18
ligand_Maybridge_HitDiscoverCmpd10059_reduced,10,-7.88,5.86
ligand_Maybridge_HitDiscoverCmpd1005_reduced,10,-8.96,7.01
ligand_Maybridge_HitDiscoverCmpd10060_reduced,10,-8.44,6.55
ligand_Maybridge_HitDiscoverCmpd10061_reduced,10,-9.63,7.97
ligand_Maybridge_HitDiscoverCmpd10062_reduced,10,-10.81,7.43
ligand_Maybridge_HitDiscoverCmpd10063_reduced,10,-9.10,7.57
ligand_Maybridge_HitDiscoverCmpd10064_reduced,10,-7.45,5.52
ligand_Maybridge_HitDiscoverCmpd10065_reduced,10,-8.54,6.69
ligand_Maybridge_HitDiscoverCmpd10066_reduced,10,-5.89,4.92
ligand_Maybridge_HitDiscoverCmpd10067_reduced,10,-5.15,4.48
ligand_Maybridge_HitDiscoverCmpd10068_reduced,10,-7.96,8.19
ligand_Maybridge_HitDiscoverCmpd10069_reduced,10,-8.69,6.33
ligand_Maybridge_HitDiscoverCmpd1006_reduced,10,-9.80,7.39
ligand_Maybridge_HitDiscoverCmpd10070_reduced,10,-7.09,5.31
ligand_Maybridge_HitDiscoverCmpd10071_reduced,10,-9.51,7.38
ligand_Maybridge_HitDiscoverCmpd10072_reduced,10,-9.88,6.90
ligand_Maybridge_HitDiscoverCmpd10073_reduced,10,-10.20,7.60
ligand_Maybridge_HitDiscoverCmpd10074_reduced,10,-6.45,5.21
ligand_Maybridge_HitDiscoverCmpd10075_reduced,10,-11.26,7.99
ligand_Maybridge_HitDiscoverCmpd10076_reduced,10,-8.36,5.92
ligand_Maybridge_HitDiscoverCmpd10077_reduced,10,-7.25,6.69
ligand_Maybridge_HitDiscoverCmpd10078_reduced,10,-8.90,6.39
ligand_Maybridge_HitDiscoverCmpd10079_reduced,10,-8.74,6.12
ligand_Maybridge_HitDiscoverCmpd1007_reduced,10,-9.88,6.98
ligand_Maybridge_HitDiscoverCmpd10080_reduced,10,-7.86,5.67
ligand_Maybridge_HitDiscoverCmpd10081_reduced,10,-9.86,6.96
ligand_Maybridge_HitDiscoverCmpd10082_reduced,10,-10.37,7.15
ligand_Maybridge_HitDiscoverCmpd10083_reduced,10,-10.49,7.77
ligand_Maybridge_HitDiscoverCmpd10084_reduced,10,-8.30,5.92
ligand_Maybridge_HitDiscoverCmpd10085_reduced,10,-12.04,8.12
ligand_Maybridge_HitDiscoverCmpd10086_reduced,10,-8.79,5.74
ligand_Maybridge_HitDiscoverCmpd10087_reduced,10,-7.05,5.51
ligand_Maybridge_HitDiscoverCmpd10088_reduced,10,-7.03,5.53
ligand_Maybridge_HitDiscoverCmpd10089_reduced,10,-9.11,6.52
ligand_Maybridge_HitDiscoverCmpd1008_reduced,10,-10.12,6.75
ligand_Maybridge_HitDiscoverCmpd10090_reduced,10,-8.13,8.00
ligand_Maybridge_HitDiscoverCmpd10091_reduced,10,-6.87,5.66
ligand_Maybridge_HitDiscoverCmpd10092_reduced,10,-10.39,7.28
ligand_Maybridge_HitDiscoverCmpd10093_reduced,10,-9.38,7.67
ligand_Maybridge_HitDiscoverCmpd10094_reduced,10,-6.88,5.74
ligand_Maybridge_HitDiscoverCmpd10095_reduced,10,-11.66,8.34
ligand_Maybridge_HitDiscoverCmpd10096_reduced,10,-8.18,5.91
ligand_Maybridge_HitDiscoverCmpd10097_reduced,10,-8.01,8.27
ligand_Maybridge_HitDiscoverCmpd10098_reduced,10,-7.26,5.74
ligand_Maybridge_HitDiscoverCmpd10099_reduced,10,-7.37,5.69
ligand_Maybridge_HitDiscoverCmpd1009_reduced,10,-11.08,8.21
ligand_Maybridge_HitDiscoverCmpd100_reduced,10,-9.32,7.78
ligand_Maybridge_HitDiscoverCmpd10100_reduced,10,-7.83,8.23
ligand_Maybridge_HitDiscoverCmpd10101_reduced,10,-8.89,7.20
ligand_Maybridge_HitDiscoverCmpd10102_reduced,10,-8.98,7.60
ligand_Maybridge_HitDiscoverCmpd10103_reduced,10,-11.01,7.86
ligand_Maybridge_HitDiscoverCmpd10104_reduced,10,-7.41,4.61
ligand_Maybridge_HitDiscoverCmpd10105_reduced,10,-8.22,6.81
ligand_Maybridge_HitDiscoverCmpd10106_reduced,10,-8.35,5.62
ligand_Maybridge_HitDiscoverCmpd10107_reduced,10,-7.85,8.23
ligand_Maybridge_HitDiscoverCmpd10108_reduced,10,-6.87,5.03
ligand_Maybridge_HitDiscoverCmpd10109_reduced,10,-11.92,7.78
ligand_Maybridge_HitDiscoverCmpd1010_reduced,10,-8.35,8.26
ligand_Maybridge_HitDiscoverCmpd10110_reduced,10,-7.56,7.98
ligand_Maybridge_HitDiscoverCmpd10111_reduced,10,-7.82,6.05
ligand_Maybridge_HitDiscoverCmpd10112_reduced,10,-9.02,7.60
ligand_Maybridge_HitDiscoverCmpd10113_reduced,10,-9.98,7.82
ligand_Maybridge_HitDiscoverCmpd10114_reduced,10,-12.14,7.87
ligand_Maybridge_HitDiscoverCmpd10115_reduced,10,-6.45,5.20
ligand_Maybridge_HitDiscoverCmpd10116_reduced,10,-7.39,5.87
ligand_Maybridge_HitDiscoverCmpd10117_reduced,10,-9.11,8.06
ligand_Maybridge_HitDiscoverCmpd10118_reduced,10,-6.66,4.43
ligand_Maybridge_HitDiscoverCmpd10119_reduced,10,-8.10,5.73
ligand_Maybridge_HitDiscoverCmpd1011_reduced,10,-10.80,8.01
ligand_Maybridge_HitDiscoverCmpd10120_reduced,10,-11.05,6.98
ligand_Maybridge_HitDiscoverCmpd10121_reduced,10,-7.53,6.17
ligand_Maybridge_HitDiscoverCmpd10122_reduced,10,-8.53,7.73
ligand_Maybridge_HitDiscoverCmpd10123_reduced,10,-10.62,7.89
ligand_Maybridge_HitDiscoverCmpd10124_reduced,10,-8.09,6.14
ligand_Maybridge_HitDiscoverCmpd10125_reduced,10,-7.07,5.75
ligand_Maybridge_HitDiscoverCmpd10126_reduced,10,-7.58,5.67
ligand_Maybridge_HitDiscoverCmpd10127_reduced,10,-7.52,8.12
ligand_Maybridge_HitDiscoverCmpd10128_reduced,10,-6.00,4.65
ligand_Maybridge_HitDiscoverCmpd10129_reduced,10,-7.51,6.02
ligand_Maybridge_HitDiscoverCmpd1012_reduced,10,-9.90,7.07
ligand_Maybridge_HitDiscoverCmpd10130_reduced,10,-8.99,6.27
ligand_Maybridge_HitDiscoverCmpd10131_reduced,10,-7.28,6.45
ligand_Maybridge_HitDiscoverCmpd10132_reduced,10,-8.10,5.82
ligand_Maybridge_HitDiscoverCmpd10133_reduced,10,-7.20,4.55
ligand_Maybridge_HitDiscoverCmpd10134_reduced,10,-8.45,6.23
ligand_Maybridge_HitDiscoverCmpd10135_reduced,10,-5.89,4.55
ligand_Maybridge_HitDiscoverCmpd10136_reduced,10,-10.58,7.72
ligand_Maybridge_HitDiscoverCmpd10137_reduced,10,-11.87,8.71
ligand_Maybridge_HitDiscoverCmpd10138_reduced,10,-5.65,4.40
ligand_Maybridge_HitDiscoverCmpd10139_reduced,10,-9.67,8.14
ligand_Maybridge_HitDiscoverCmpd1013_reduced,10,-12.58,7.95
ligand_Maybridge_HitDiscoverCmpd10140_reduced,10,-9.42,7.10
ligand_Maybridge_HitDiscoverCmpd10141_reduced,10,-9.01,6.74
ligand_Maybridge_HitDiscoverCmpd10142_reduced,10,-9.39,6.60
ligand_Maybridge_HitDiscoverCmpd10143_reduced,10,-11.50,7.96
ligand_Maybridge_HitDiscoverCmpd10144_reduced,10,-11.78,7.66
ligand_Maybridge_HitDiscoverCmpd10145_reduced,10,-10.89,7.42
ligand_Maybridge_HitDiscoverCmpd10146_reduced,10,-11.64,7.45
ligand_Maybridge_HitDiscoverCmpd10147_reduced,10,-8.95,7.31
ligand_Maybridge_HitDiscoverCmpd10148_reduced,10,-8.65,5.79
ligand_Maybridge_HitDiscoverCmpd10149_reduced,10,-7.52,5.85
ligand_Maybridge_HitDiscoverCmpd1014_reduced,10,-11.42,6.88
ligand_Maybridge_HitDiscoverCmpd10150_reduced,10,-7.68,6.34
ligand_Maybridge_HitDiscoverCmpd10151_reduced,10,-9.57,7.83
ligand_Maybridge_HitDiscoverCmpd10152_reduced,10,-10.02,8.09
ligand_Maybridge_HitDiscoverCmpd10153_reduced,10,-10.44,7.26
ligand_Maybridge_HitDiscoverCmpd10154_reduced,10,-11.64,7.72
ligand_Maybridge_HitDiscoverCmpd10155_reduced,10,-11.47,7.49
ligand_Maybridge_HitDiscoverCmpd10156_reduced,10,-9.93,6.92
